Date,BNDX,EMB,MUB,VAW,VEA,VHT,VWO,EFA,EEM,VGIT
12/31/2013,42.55228806,35.81639862,54.01182175,76.06695557,86.63806152,90.7498703,33.30716324,54.61009216,91.73822021,33.5276413
1/2/2014,42.56945419,34.43687439,53.05393982,76.08100128,86.91362762,90.05549622,32.74778366,54.74958801,91.26638031,32.35408401
1/3/2014,42.53515625,34.3768959,53.1102829,76.15132141,86.92195892,89.9500351,32.75577164,54.74958801,91.47507477,32.3133316
1/6/2014,42.63804245,34.0512886,53.04589462,76.4537735,86.97209167,89.39632416,32.69184494,54.8106041,91.1030426,32.00365067
1/7/2014,42.74097443,34.19695663,53.34371567,76.55220032,87.12242126,89.36114502,32.88362885,54.89778519,92.164711,32.13404465
1/8/2014,42.63804245,34.08556366,53.32762146,76.13024902,87.1892395,89.71272278,32.87563705,54.67111969,93.06303406,32.07699203
1/9/2014,42.67237854,33.9056282,53.28737259,76.18650818,87.52331543,89.5193634,32.83568954,54.72344589,93.89787292,31.87326813
1/10/2014,42.78385925,34.5054245,53.77837753,76.51000977,88.0828476,89.90608978,33.13135529,55.05471802,94.49671936,32.49263
1/13/2014,42.8181572,34.09413528,53.31152725,76.57326508,88.10787201,88.69315338,32.85166168,55.12446594,93.75267029,32.08514786
1/14/2014,42.80099869,34.46258163,53.73813629,76.64363861,88.17470551,89.81819153,33.09939957,54.98496246,95.01394653,32.44374084
1/15/2014,42.78385925,34.45401382,53.96352386,76.65766907,88.15802765,90.45103455,33.25920105,54.95010376,95.02301788,32.43558884
1/16/2014,42.89533234,34.2654953,53.93938446,76.72801971,88.33343506,90.51255035,33.20326996,55.0198555,95.30432129,32.25629425
1/17/2014,42.92962646,34.09413528,53.77837753,76.77022552,88.51712036,90.24887085,33.12335587,55.09830475,95.26802063,32.14219284
1/21/2014,42.93821716,34.04271698,54.03596878,76.60844421,88.400177,90.63560486,33.25920105,55.07213593,95.85783386,32.04440308
1/22/2014,42.86963272,34.49684525,54.03596878,76.37636566,88.30833435,90.04671478,33.29117584,54.92393875,95.89413452,32.45187378
1/23/2014,42.97252655,33.64856339,53.67374039,76.05286407,88.60063171,88.87775421,33.04345322,55.1680603,95.30432129,31.71026802
1/24/2014,43.0582695,32.7660141,52.20069504,75.63795471,88.75094604,86.34640503,32.13245773,55.2988205,93.02675629,30.93605423
1/27/2014,42.98967743,32.63749313,51.95920944,75.55352783,88.55888367,85.94210052,31.98062897,55.22035217,92.09211731,30.73230743
1/28/2014,43.02397156,32.84312439,52.4099884,75.9755249,88.65071106,86.45186615,32.30028152,55.27267456,93.37154388,30.93605423
1/29/2014,43.06684494,32.37185669,51.82237244,75.77856445,88.61734009,86.80345917,31.91670418,55.4557457,92.59118652,30.39002419
1/30/2014,43.10114288,32.67175674,52.08800888,75.63091278,88.77603149,87.21652985,32.08451843,55.40345383,94.23357391,30.70785904
1/31/2014,43.1611824,32.7231636,51.20256042,75.44804382,88.85952759,86.8122406,31.57308006,55.54293442,93.45322418,30.69972038
2/3/2014,43.22043228,31.79776764,50.15613174,75.32872772,88.95995331,84.51824951,30.96574783,55.74282074,91.31174469,29.88475418
2/4/2014,43.17749023,32.44041061,50.73569489,75.83003235,88.66695404,85.33562469,31.28539848,55.62932587,92.21916199,30.57746315
2/5/2014,43.17749023,32.32044601,50.84033203,76.0559082,88.57485199,85.36199188,31.31735992,55.52458954,91.68377686,30.47151375
2/6/2014,43.11740112,32.99736023,51.74187469,76.20424652,88.65859222,86.65401459,31.93267822,55.48095703,92.05581665,31.07460594
2/7/2014,43.18608093,33.18586349,52.41802979,76.67727661,88.85951996,87.84059143,32.28429031,55.57696533,93.77989197,31.19683456
2/10/2014,43.12598419,32.81742096,52.24094772,76.55020142,88.94324493,88.13941193,32.14044189,55.59442139,94.7598877,30.84640503
2/11/2014,43.15174103,33.52861404,53.07003403,76.59960938,89.04370117,89.29083252,32.66786575,55.44605255,95.91229248,31.49837685
2/12/2014,43.08304214,33.53718185,53.15858841,76.59255219,88.90975952,89.29962158,32.74778366,55.32382965,95.9576416,31.44947243
2/13/2014,43.20324326,33.57144928,53.31956482,76.58550262,88.90142822,90.23130035,32.80372238,55.52458954,96.80152893,31.48207283
2/14/2014,43.15174103,33.98274612,53.52080154,76.62784576,88.80094147,90.85536194,32.94755554,55.50714111,97.00115204,31.86510086
2/18/2014,43.20324326,33.66570282,53.97962189,76.6349411,88.69207764,91.0311203,33.21926117,55.61188507,98.05374146,31.59616852
2/19/2014,43.20324326,33.4343605,53.61739731,76.52902222,88.84276581,90.28401947,32.96353912,55.55077362,97.37319183,31.45762253
2/20/2014,43.01437378,33.55431366,53.8025322,76.42308807,88.84276581,91.13661194,33.08340836,55.45476913,98.39855957,31.62062645
2/21/2014,43.16032791,33.78565979,53.90717697,76.7620163,88.92654419,91.03992462,33.16331863,55.52458954,98.41670227,31.8406601
2/24/2014,43.16890717,33.78565979,54.37405777,77.2138443,89.02700806,90.57408905,33.44301605,55.48969269,99.11540985,31.80806351
2/25/2014,43.26333618,33.40008163,54.2452507,77.28448486,89.20281982,90.87290192,33.37907791,55.60315323,98.98836517,31.40872765
2/26/2014,43.3234787,33.42578888,54.06012344,77.27741241,89.32003021,91.69032288,33.27519608,55.68173218,98.98836517,31.32723618
2/27/2014,43.41790771,34.05986023,54.2452507,77.6374588,89.57958984,92.30555725,33.4110527,55.72535706,99.47836304,31.94661522
2/28/2014,43.36637115,33.82850647,54.34184647,78.04705048,89.78887939,92.66593933,33.45100021,55.70790482,99.00650787,31.69397354
3/3/2014,43.48671722,33.22871017,53.19077682,77.34600067,89.92402649,92.39345551,32.77175903,55.7961731,98.40764618,31.13978958
3/4/2014,43.40077972,33.79423141,54.2452507,77.85635376,89.79814148,93.86129761,33.41903305,55.61262894,100.3494492,31.65321732
3/5/2014,43.40937042,33.81993103,54.19696426,77.94138336,89.63025665,94.01948547,33.34711838,55.60390091,100.1317062,31.7510128
3/6/2014,43.3577919,34.29977417,54.76042175,77.78546906,89.52113342,94.40622711,33.72269058,55.49902344,99.32408142,32.19108963
3/7/2014,43.31479645,33.86278534,54.46260071,77.65080261,89.07624817,94.17771912,33.54689407,55.32424164,99.05187225,31.74286842
